specimen	min_ma	max_ma
t446_1	0.062750306254735	1.67133929374526
t337_1	0.0596957	0.1790871
t247_1	0.0169464	0.0508392
t309_1	0.0659528	0.1978584
t74_1	0.01875485	0.05626455
t76_1	0.36068695	1.08206085
t317_1	0.0980443	0.2941329
t35_1	0.0228127	0.0684381
t339_1	0.3164887	0.9494661
t340_1	0.283985406254735	1.89257439374527
t172_1	0.4005183	1.2015549
t442_1	0.3327832	0.9983496
t456_1	0.2014248	0.6042744
t230_1	0.38461245	1.15383735
t288_1	0.3247399	0.9742197
t388_1	0.360871206254735	1.96946019374526
t321_1	1.32174900625474	2.93033799374527
t282_1	1.12489830625474	2.73348729374526
t155_1	0.935668106254735	2.54425709374526
t263_1	2.48428770625473	4.09287669374527
t263_2	2.31104020625474	3.91962919374526
t295_1	3.40924070625474	5.01782969374526
t463_1	3.53085160625474	5.13944059374526
t115_1	3.78594190625474	5.39453089374526
t470_1	3.81577680625474	5.42436579374526
t148_1	4.42601650625474	6.03460549374527
t276_1	4.27810540625474	5.88669439374527
t306_1	4.32533360625473	5.93392259374526
t401_1	4.54270770625474	6.15129669374527
t289_1	4.79576910625474	6.40435809374527
t154_1	4.93395170625474	6.54254069374526
t239_1	4.85727490625474	6.46586389374527
t389_1	5.18648050625474	6.79506949374526
t188_1	5.96983130625474	7.57842029374526
t444_1	5.35129770625474	6.95988669374526
t397_1	5.24670880625473	6.85529779374526
t61_1	5.19131400625474	6.79990299374527
t545_1	6.76318910625474	8.37177809374526
t545_2	6.71815810625474	8.32674709374527
t548_1	6.51373480625474	8.12232379374526
t572_1	5.77207800625473	7.38066699374526
t587_1	5.41020220625474	7.01879119374526
t600_1	5.32019750625474	6.92878649374526
t615_1	5.78247180625474	7.39106079374526
t620_1	5.30909560625474	6.91768459374526
t622_1	5.35555370625474	6.96414269374526
t624_1	5.48819130625473	7.09678029374526
t629_1	4.93362790625474	6.54221689374527
t634_1	4.75994310625474	6.36853209374526
t636_1	5.33158870625474	6.94017769374527
t641_1	5.55044460625474	7.15903359374526
t656_1	4.52291070625474	6.13149969374526
t663_1	4.11527210625473	5.72386109374526
t665_1	4.05948770625474	5.66807669374526
t669_1	4.09562270625474	5.70421169374526
t686_1	3.62375880625474	5.23234779374526
t692_1	3.15788450625474	4.76647349374526
t693_1	3.43331220625473	5.04190119374526
t712_1	2.45907490625474	4.06766389374526
t784_1	1.43544390625473	3.04403289374526
t848_1	0.912644706254735	2.52123369374527
t886_1	0.435459306254735	2.04404829374526
t917_1	0.356795006254735	1.96538399374527
t929_1	0.594072606254735	2.20266159374526
t942_1	0.146246106254735	1.75483509374526
t947_1	0.193347906254735	1.80193689374526
t972_1	0.296894006254735	1.90548299374526
t983_1	0.909457006254735	2.51804599374527
t998_1	0.758939806254735	2.36752879374527
t1039_1	0.2575328	0.7725984
t1059_1	0.03221445	0.09664335
